Ind_ID,GENDER,Car_Owner,Propert_Owner,CHILDREN,Annual_income,Type_Income,EDUCATION,Marital_status,Housing_type,Employed_days,Work_Phone,Phone,EMAIL_ID,Type_Occupation,Family_Members,label,Age
5078805,F,N,Y,0,306000.0,Working,Secondary / secondary special,Married,House / apartment,-2978,0,0,0,High skill tech staff,2,0,51.85479452054795
5145869,F,N,Y,0,225000.0,Pensioner,Secondary / secondary special,Separated,House / apartment,365243,0,1,0,Unknown,1,0,57.47397260273973
5148812,F,N,Y,0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,365243,0,0,0,Unknown,2,0,61.413698630136984
5105685,F,N,Y,2,144000.0,Working,Secondary / secondary special,Married,House / apartment,-2805,1,1,0,Private service staff,4,0,38.71780821917808
5117450,F,N,N,2,90000.0,Working,Secondary / secondary special,Married,House / apartment,-96,1,0,0,Unknown,4,0,32.5013698630137
5054625,F,N,Y,0,112500.0,Pensioner,Secondary / secondary special,Widow,House / apartment,365243,0,0,0,Unknown,1,0,60.367123287671234
5090942,M,N,N,0,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-1436,0,0,0,Low-skill Laborers,2,0,36.536986301369865
5136029,M,Y,N,0,112500.0,State servant,Secondary / secondary special,Married,House / apartment,-2331,0,0,0,Laborers,2,0,53.512328767123286
5050894,M,Y,N,0,292500.0,Pensioner,Secondary / secondary special,Married,House / apartment,365243,0,0,0,Unknown,2,0,51.71232876712329
5023655,F,N,N,0,225000.0,Commercial associate,Incomplete higher,Single / not married,House / apartment,-1209,0,0,0,Accountants,1,0,28.024657534246575
5087819,M,N,Y,2,112500.0,Working,Secondary / secondary special,Married,House / apartment,-1563,0,0,0,Security staff,4,0,43.25479452054795
5079016,M,Y,Y,2,900000.0,Commercial associate,Higher education,Married,House / apartment,-1000,0,0,0,Managers,4,0,27.09315068493151
5142362,M,Y,Y,1,112500.0,Working,Secondary / secondary special,Married,House / apartment,-925,1,1,0,Drivers,3,1,44.394520547945206
5113406,M,Y,Y,0,450000.0,Commercial associate,Higher education,Single / not married,House / apartment,-588,0,0,1,Sales staff,1,0,29.69041095890411
5045917,M,Y,Y,0,315000.0,Commercial associate,Secondary / secondary special,Married,Rented apartment,-2026,0,0,0,Drivers,2,0,46.54794520547945
5023475,F,Y,Y,0,315000.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,365243,0,0,0,Unknown,1,0,57.56712328767123
5028580,M,N,N,0,540000.0,Commercial associate,Higher education,Married,House / apartment,-691,0,0,0,Managers,2,1,54.78356164383562
5117622,M,Y,N,2,112500.0,Working,Higher education,Married,House / apartment,-127,0,0,0,Drivers,4,0,40.16164383561644
5066879,M,Y,Y,0,270000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-1557,0,0,0,Laborers,1,0,37.821917808219176
5126503,F,N,N,0,171000.0,Pensioner,Secondary / secondary special,Married,House / apartment,365243,0,1,0,Unknown,2,0,57.47123287671233
5092287,F,N,Y,0,247500.0,Pensioner,Higher education,Married,House / apartment,365243,0,0,0,Unknown,2,0,60.56712328767123
5033453,F,N,N,0,135000.0,Working,Higher education,Single / not married,House / apartment,-2394,0,0,0,Laborers,1,1,29.44931506849315
5022343,F,N,Y,0,67500.0,Pensioner,Secondary / secondary special,Widow,House / apartment,365243,0,0,0,Unknown,1,0,64.37808219178082
5140074,F,N,Y,0,90000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-431,0,0,0,Core staff,2,0,41.43561643835616
5114354,M,Y,N,0,180000.0,Commercial associate,Secondary / secondary special,Married,Municipal apartment,-2993,1,0,0,Unknown,2,0,26.876712328767123
5028781,F,N,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-3034,0,0,0,Unknown,2,0,43.38630136986301
5104868,F,N,Y,0,112500.0,Working,Higher education,Married,House / apartment,-4004,0,0,0,Accountants,2,0,33.18904109589041
5067149,M,N,N,2,225000.0,Working,Incomplete higher,Married,House / apartment,-263,0,0,0,Unknown,4,0,38.271232876712325
5052865,F,N,Y,0,94500.0,Commercial associate,Incomplete higher,Married,House / apartment,-3458,1,1,0,Sales staff,2,0,38.0
5125158,M,N,Y,1,234000.0,Working,Secondary / secondary special,Married,House / apartment,-1748,0,0,0,Laborers,3,0,32.794520547945204
5025020,F,N,Y,0,148500.0,Pensioner,Secondary / secondary special,Married,House / apartment,365243,0,0,0,Unknown,2,0,58.93698630136986
5068491,M,N,N,1,315000.0,Commercial associate,Higher education,Married,House / apartment,-110,0,1,0,Unknown,3,0,50.1945205479452
5135487,F,N,Y,0,135000.0,State servant,Higher education,Single / not married,Municipal apartment,-1935,0,0,0,Core staff,1,1,29.205479452054796
5113082,F,N,Y,1,112500.0,Working,Higher education,Single / not married,House / apartment,-1131,0,0,0,Core staff,2,0,41.92602739726028
5089512,F,Y,N,1,405000.0,Working,Secondary / secondary special,Married,Rented apartment,-1678,1,1,1,Core staff,3,0,37.83561643835616
5053524,F,N,Y,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,-2464,0,1,0,Managers,2,0,40.443835616438356
5092242,F,N,N,0,117000.0,Working,Secondary / secondary special,Married,House / apartment,-2330,0,0,0,Unknown,2,0,56.86027397260274
5023692,F,N,Y,0,135000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-3339,0,0,0,Unknown,1,0,41.1945205479452
5116301,F,N,Y,0,180000.0,Pensioner,Secondary / secondary special,Married,House / apartment,365243,0,0,0,Unknown,2,1,62.06849315068493
5118617,F,N,N,0,270000.0,Commercial associate,Higher education,Single / not married,House / apartment,-5209,0,0,0,Sales staff,1,0,43.205479452054796
5033788,F,N,Y,1,315000.0,Working,Higher education,Separated,House / apartment,-4766,1,1,0,Private service staff,2,0,43.11780821917808
5099980,M,N,Y,0,90000.0,Working,Secondary / secondary special,Separated,House / apartment,-1069,0,0,0,Low-skill Laborers,1,0,41.25753424657534
5029184,F,N,Y,1,108000.0,Working,Secondary / secondary special,Married,House / apartment,-4603,0,0,0,Laborers,3,0,43.76164383561644
5105395,F,N,Y,0,135000.0,Working,Incomplete higher,Single / not married,House / apartment,-575,0,0,0,Secretaries,1,0,29.95068493150685
5028697,M,Y,N,1,270000.0,Working,Higher education,Married,Rented apartment,-203,0,1,0,Laborers,3,0,29.635616438356163
5088805,M,Y,Y,0,225000.0,State servant,Secondary / secondary special,Married,House / apartment,-3694,1,1,0,High skill tech staff,2,0,37.583561643835615
5146447,F,N,Y,0,135000.0,Working,Secondary / secondary special,Widow,House / apartment,-919,0,1,0,Managers,1,0,39.43561643835616
5035866,F,N,Y,0,247500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-1225,0,0,0,Cooking staff,2,0,48.37260273972603
5069289,F,N,Y,0,270000.0,Commercial associate,Incomplete higher,Married,House / apartment,-3397,0,0,0,Core staff,2,0,40.5013698630137
5051180,M,Y,N,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,-1931,0,1,0,Laborers,3,0,35.85205479452055
5022617,M,Y,Y,0,202500.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-1674,0,0,1,Laborers,2,1,32.93698630136986
5068888,F,N,Y,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,-4888,0,0,0,Medicine staff,2,0,64.48493150684932
5143362,F,N,Y,0,126000.0,Working,Secondary / secondary special,Married,House / apartment,-2234,1,1,0,High skill tech staff,2,0,62.49589041095891
5087538,M,N,Y,0,81000.0,Commercial associate,Higher education,Single / not married,House / apartment,-1928,0,1,0,Laborers,1,0,27.052054794520547
5051097,F,N,N,0,69750.0,Pensioner,Secondary / secondary special,Widow,Municipal apartment,365243,0,1,0,Unknown,1,0,60.23561643835617
5142595,M,Y,Y,0,418500.0,Working,Higher education,Married,House / apartment,-73,0,1,0,Unknown,2,0,52.15890410958904
5096169,F,N,N,0,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-796,0,0,0,High skill tech staff,2,0,53.701369863013696
5028858,M,Y,Y,1,157500.0,Working,Secondary / secondary special,Married,House / apartment,-3095,0,0,0,Laborers,3,0,37.99178082191781
5046340,M,N,Y,1,180000.0,Working,Lower secondary,Married,House / apartment,-1692,1,0,0,Unknown,3,0,28.98904109589041
5038569,M,Y,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,-230,0,1,0,Laborers,2,0,54.723287671232875
5041758,F,N,Y,0,157500.0,State servant,Higher education,Married,House / apartment,-3654,0,1,0,Managers,2,0,41.49315068493151
5010089,F,N,N,0,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-1682,0,0,0,Laborers,2,0,28.23013698630137
5021431,F,N,Y,0,126000.0,Commercial associate,Higher education,Single / not married,House / apartment,-2470,0,0,0,Sales staff,1,1,51.8
5053918,F,Y,N,0,225000.0,Working,Higher education,Civil marriage,House / apartment,-2433,0,0,0,Managers,2,0,39.556164383561644
5062713,F,N,Y,1,157500.0,Working,Secondary / secondary special,Married,House / apartment,-3805,0,0,0,Core staff,3,0,39.75342465753425
5067982,M,Y,Y,0,153000.0,Working,Higher education,Separated,With parents,-7640,0,0,1,Managers,1,0,54.83013698630137
5022761,F,N,Y,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,-1344,0,0,1,Sales staff,2,0,26.824657534246576
5113180,M,Y,Y,0,135000.0,Commercial associate,Higher education,Civil marriage,House / apartment,-613,0,0,0,Core staff,2,0,48.04931506849315
5096466,M,Y,N,1,450000.0,Working,Higher education,Married,House / apartment,-5545,1,0,0,Managers,3,0,53.178082191780824
5116036,M,Y,Y,0,126000.0,Working,Higher education,Single / not married,House / apartment,-863,1,0,0,Managers,1,1,39.78630136986301
5025207,M,Y,Y,1,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-124,0,0,0,Drivers,3,0,27.126027397260273
5135946,M,N,Y,0,270000.0,Working,Higher education,Single / not married,House / apartment,-3153,0,1,0,Laborers,1,0,41.704109589041096
5105069,M,N,Y,0,157500.0,Working,Incomplete higher,Married,House / apartment,-453,1,1,0,Unknown,2,0,37.484931506849314
5044860,F,N,Y,0,167400.0,Pensioner,Secondary / secondary special,Married,House / apartment,365243,0,0,0,Unknown,2,0,52.131506849315066
5139548,F,Y,Y,2,157500.0,Commercial associate,Higher education,Married,House / apartment,-6337,0,1,0,Medicine staff,4,0,37.21643835616438
5079127,M,N,Y,0,270000.0,Working,Higher education,Married,House / apartment,-2262,0,0,0,Laborers,2,0,32.723287671232875
5113057,F,Y,N,0,202500.0,Commercial associate,Incomplete higher,Separated,House / apartment,-1344,0,1,1,Accountants,1,0,38.61917808219178
5090788,F,Y,Y,1,225000.0,Commercial associate,Secondary / secondary special,Separated,House / apartment,-1374,0,0,0,Managers,2,0,29.887671232876713
5116621,F,Y,Y,1,157500.0,State servant,Secondary / secondary special,Married,House / apartment,-3380,0,0,0,Laborers,3,0,37.83835616438356
5135863,F,N,Y,2,67500.0,Working,Secondary / secondary special,Married,House / apartment,-596,0,0,0,Sales staff,4,0,33.49589041095891
5091406,F,N,Y,0,135000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-1904,1,0,0,Laborers,1,0,48.16164383561644
5056179,F,N,Y,0,202500.0,Commercial associate,Higher education,Married,House / apartment,-218,0,0,0,Unknown,2,0,26.473972602739725
5099907,F,N,Y,2,112500.0,Working,Incomplete higher,Married,House / apartment,-1860,0,0,0,Core staff,4,0,29.936986301369863
5118026,F,N,N,0,315000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-3230,0,1,0,High skill tech staff,2,0,37.342465753424655
5086060,F,N,Y,0,135000.0,State servant,Secondary / secondary special,Married,House / apartment,-9422,0,1,0,Core staff,2,0,56.27945205479452
5033817,F,Y,N,1,292500.0,State servant,Higher education,Married,House / apartment,-2667,0,1,0,Core staff,3,0,43.863013698630134
5048583,F,N,Y,0,135000.0,Pensioner,Secondary / secondary special,Married,House / apartment,365243,0,0,0,Unknown,2,0,59.12054794520548
5139729,F,N,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-2319,0,0,0,Cleaning staff,2,0,56.06301369863014
5065571,M,Y,Y,0,270000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-1539,0,0,0,Drivers,2,0,49.912328767123284
5051156,M,N,N,1,247500.0,Working,Higher education,Single / not married,House / apartment,-1870,0,0,0,Laborers,2,0,37.85205479452055
5142185,M,Y,Y,2,450000.0,Commercial associate,Higher education,Married,House / apartment,-4305,1,1,0,Managers,4,1,48.87945205479452
5090701,F,N,N,0,594000.0,Pensioner,Higher education,Single / not married,Municipal apartment,365243,0,0,0,Unknown,1,0,47.635616438356166
5097170,M,Y,Y,0,180000.0,State servant,Secondary / secondary special,Married,House / apartment,-2620,0,0,0,Drivers,2,0,26.21917808219178
5021790,F,Y,Y,2,157500.0,Working,Secondary / secondary special,Married,House / apartment,-6879,0,0,0,High skill tech staff,4,0,41.153424657534245
5142584,M,Y,Y,0,301500.0,Working,Secondary / secondary special,Married,Rented apartment,-864,0,0,0,Laborers,2,0,24.682191780821917
5149106,M,N,Y,2,270000.0,Working,Secondary / secondary special,Married,House / apartment,-3608,0,0,0,Security staff,4,0,34.21369863013699
5088205,F,N,Y,0,153000.0,Pensioner,Secondary / secondary special,Separated,House / apartment,365243,0,1,0,Unknown,1,0,59.66575342465753
5009567,M,Y,N,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,-3143,1,1,0,Laborers,2,0,41.515068493150686
5023147,F,N,N,0,112500.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,365243,0,0,0,Unknown,1,0,57.9041095890411
5066617,F,N,Y,0,139500.0,Working,Secondary / secondary special,Married,House / apartment,-157,0,0,1,Cooking staff,2,0,51.31506849315068
5009739,F,Y,N,0,99000.0,Working,Secondary / secondary special,Married,House / apartment,-4392,1,1,0,Core staff,2,0,40.156164383561645
5041307,F,Y,Y,0,90000.0,Pensioner,Secondary / secondary special,Married,House / apartment,365243,0,1,0,Unknown,2,0,63.33698630136986
5092265,M,N,Y,0,112500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-351,0,0,0,Security staff,2,0,48.868493150684934
5088687,M,N,Y,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,-1473,1,1,0,Laborers,3,0,51.28493150684932
5058281,F,N,Y,0,306000.0,Commercial associate,Higher education,Married,House / apartment,-3435,1,1,1,Unknown,2,0,40.81369863013698
5068648,M,N,Y,0,135000.0,Working,Secondary / secondary special,Single / not married,With parents,-1054,0,0,0,Drivers,1,0,31.07945205479452
5021998,M,N,Y,0,90000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-1644,0,0,1,Unknown,2,1,51.679452054794524
5037169,M,Y,Y,0,135000.0,Pensioner,Secondary / secondary special,Married,House / apartment,365243,0,0,0,Unknown,2,0,67.15068493150685
5100098,F,N,Y,0,90000.0,Working,Secondary / secondary special,Married,House / apartment,-826,0,0,0,Unknown,2,0,29.72876712328767
5010435,F,N,Y,0,90000.0,Pensioner,Secondary / secondary special,Married,House / apartment,365243,0,0,0,Unknown,2,0,58.95342465753425
5033831,M,Y,Y,0,135000.0,Working,Higher education,Civil marriage,House / apartment,-663,1,1,0,Laborers,2,0,52.93698630136986
5047870,M,Y,Y,1,292500.0,Commercial associate,Higher education,Married,House / apartment,-3322,0,0,0,Unknown,3,0,34.43561643835616
5050671,M,N,N,0,171000.0,Commercial associate,Incomplete higher,Single / not married,House / apartment,-166,1,1,0,High skill tech staff,1,1,31.80821917808219
5028990,F,N,N,2,81000.0,Working,Lower secondary,Single / not married,House / apartment,-2333,0,0,0,Sales staff,3,0,42.11780821917808
5116906,M,Y,Y,0,211500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-7553,0,0,0,Core staff,2,1,41.224657534246575
5135484,F,N,Y,0,135000.0,State servant,Higher education,Single / not married,Municipal apartment,-1935,0,0,0,Core staff,1,0,29.205479452054796
5052731,F,N,Y,0,180000.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-1114,0,0,0,Laborers,2,0,37.84109589041096
5010865,M,Y,Y,1,450000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-678,0,1,1,Core staff,3,0,49.78904109589041
5009753,M,Y,N,0,315000.0,Pensioner,Higher education,Married,House / apartment,-586,1,1,0,Unknown,2,1,37.14246575342466
5117065,F,N,Y,2,225000.0,Working,Higher education,Married,House / apartment,-1648,1,1,0,Accountants,4,0,62.06849315068493
5142248,F,N,Y,0,225000.0,State servant,Secondary / secondary special,Married,House / apartment,-2340,0,0,0,Private service staff,2,0,54.31780821917808
5041474,F,N,Y,0,90000.0,Commercial associate,Higher education,Married,House / apartment,-793,0,0,1,Sales staff,2,0,24.673972602739727
5126121,F,Y,N,0,72000.0,Working,Secondary / secondary special,Married,House / apartment,-227,1,1,0,Medicine staff,2,0,41.602739726027394
5118545,F,Y,N,0,270000.0,Working,Secondary / secondary special,Married,House / apartment,-1741,0,1,0,Sales staff,2,0,50.07945205479452
5061253,F,N,Y,0,112500.0,Working,Incomplete higher,Civil marriage,House / apartment,-1751,0,0,0,Unknown,2,0,25.482191780821918
5062016,F,N,N,0,180000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-2389,0,0,0,Unknown,1,0,31.073972602739726
5095324,F,N,Y,0,315000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,365243,0,1,0,Unknown,1,0,62.61369863013699
5050453,M,N,Y,1,231750.0,Working,Secondary / secondary special,Married,House / apartment,-135,0,0,0,Unknown,3,0,39.032876712328765
5068320,F,N,Y,0,189000.0,Pensioner,Higher education,Separated,House / apartment,365243,0,0,0,Unknown,1,0,62.06849315068493
5135346,M,N,Y,0,112500.0,Commercial associate,Higher education,Married,House / apartment,-555,0,0,0,Security staff,2,1,55.07671232876712
5035682,F,Y,Y,0,135000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-8377,0,0,0,Laborers,2,0,45.21917808219178
5140019,F,Y,Y,1,180000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-1436,0,0,0,Private service staff,2,0,31.09041095890411
5045253,F,N,Y,1,270000.0,Working,Secondary / secondary special,Married,House / apartment,-3689,0,0,0,Core staff,3,0,57.134246575342466
5061724,F,N,Y,0,193500.0,Pensioner,Incomplete higher,Widow,House / apartment,365243,0,0,0,Unknown,1,0,66.56164383561644
5113933,F,N,N,0,67500.0,Pensioner,Secondary / secondary special,Widow,House / apartment,365243,0,1,0,Unknown,1,1,63.75616438356165
5068692,M,N,Y,0,148500.0,Working,Secondary / secondary special,Single / not married,House / apartment,-962,0,0,0,Laborers,1,0,32.38082191780822
5143374,F,N,N,0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,365243,0,0,0,Unknown,2,0,65.75616438356164
5054188,F,N,N,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-515,0,1,0,Sales staff,2,0,31.205479452054796
5100010,M,Y,N,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,-918,1,1,0,Laborers,2,0,62.06849315068493
5096318,M,Y,N,0,270000.0,Commercial associate,Higher education,Single / not married,House / apartment,-158,0,0,0,Core staff,1,0,26.073972602739726
5106077,F,N,Y,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-6944,0,0,0,Medicine staff,2,1,54.14794520547945
5096424,M,Y,N,0,270000.0,Commercial associate,Higher education,Separated,House / apartment,-2349,0,1,0,Unknown,1,0,31.838356164383562
5058271,F,N,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-4288,0,0,0,Low-skill Laborers,2,0,53.71780821917808
5022571,M,Y,Y,0,202500.0,Pensioner,Higher education,Married,House / apartment,365243,0,0,0,Unknown,2,0,59.50958904109589
5041540,F,N,Y,1,135000.0,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,365243,0,0,0,Unknown,3,0,52.863013698630134
5090415,F,Y,N,0,216000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-9925,1,1,0,Unknown,1,0,54.15068493150685
5145978,F,Y,N,0,112500.0,State servant,Secondary / secondary special,Widow,House / apartment,-5880,0,0,0,Secretaries,1,0,53.52876712328767
5150038,M,N,N,0,180000.0,Working,Secondary / secondary special,Single / not married,With parents,-1537,0,0,0,Drivers,1,0,35.02465753424657
5087880,F,N,N,0,234000.0,State servant,Higher education,Civil marriage,House / apartment,-5215,0,0,1,Core staff,2,0,60.18356164383562
5126294,M,N,N,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,-11884,1,0,0,Laborers,2,0,57.942465753424656
5091983,M,N,Y,0,112500.0,Commercial associate,Higher education,Married,House / apartment,-808,1,0,1,Managers,2,0,59.18082191780822
5148972,M,Y,Y,0,495000.0,Working,Secondary / secondary special,Single / not married,Rented apartment,-5373,0,0,0,Cooking staff,1,0,39.33698630136986
5125317,M,Y,N,0,292500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-2722,0,0,0,Unknown,2,0,57.18904109589041
5149887,F,N,Y,0,202500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-5830,0,0,0,Managers,2,0,43.673972602739724
5096856,M,Y,Y,0,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-3476,0,0,0,Drivers,2,0,49.24657534246575
5126311,M,N,N,0,180000.0,Working,Incomplete higher,Civil marriage,With parents,-288,1,0,1,Core staff,2,0,21.10958904109589
5089556,F,Y,N,0,135000.0,Working,Incomplete higher,Single / not married,House / apartment,-3078,1,0,0,Managers,1,0,31.24931506849315
5094896,M,Y,Y,1,180000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-3928,0,0,0,Managers,3,0,38.728767123287675
5058345,F,N,Y,0,99000.0,Pensioner,Higher education,Separated,House / apartment,365243,0,0,0,Unknown,1,1,67.42739726027398
5054343,F,Y,N,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,-1064,0,1,0,Sales staff,2,0,56.55068493150685
5050756,M,Y,N,0,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-4031,1,0,0,Drivers,2,0,49.47397260273973
5025741,F,Y,N,0,216000.0,Working,Higher education,Married,Municipal apartment,-282,0,1,0,Sales staff,2,0,32.8054794520548
5029725,F,N,Y,1,135000.0,Commercial associate,Higher education,Married,House / apartment,-2910,1,0,1,Core staff,3,0,26.78904109589041
5054064,M,N,N,1,157500.0,Working,Secondary / secondary special,Married,House / apartment,-1458,0,0,0,Drivers,3,0,44.9972602739726
5029191,F,N,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,-2959,0,0,0,Sales staff,2,0,62.06849315068493
5113639,F,N,N,0,135000.0,Pensioner,Higher education,Married,Municipal apartment,365243,0,0,0,Unknown,2,0,53.97260273972603
5023410,F,N,Y,0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,365243,0,0,0,Unknown,2,0,59.293150684931504
5089269,F,N,N,0,72000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-1466,1,0,0,Cleaning staff,1,0,51.50410958904109
5096743,F,N,Y,0,180000.0,Working,Lower secondary,Widow,House / apartment,-2227,1,1,0,Cleaning staff,1,1,46.035616438356165
5105185,M,N,Y,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,-848,1,0,0,Laborers,2,0,44.28767123287671
5114294,F,N,N,0,112500.0,State servant,Secondary / secondary special,Widow,House / apartment,-5246,1,0,0,Unknown,1,0,52.863013698630134
5097134,M,Y,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,-2468,1,1,0,Drivers,2,0,31.183561643835617
5113841,F,N,Y,0,135000.0,Commercial associate,Higher education,Married,House / apartment,-923,1,0,1,Core staff,2,0,24.55068493150685
5114544,F,N,Y,0,166500.0,Working,Incomplete higher,Married,House / apartment,-4029,0,0,1,Laborers,2,0,29.572602739726026
5088689,M,N,Y,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,-1473,1,1,0,Laborers,3,0,51.28493150684932
5132340,F,N,Y,2,198000.0,Commercial associate,Incomplete higher,Separated,House / apartment,-2811,0,0,0,Unknown,3,0,42.865753424657534
5148932,M,Y,N,0,108000.0,Working,Secondary / secondary special,Married,Office apartment,-1081,0,0,0,Security staff,2,1,47.14794520547945
5023186,M,Y,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-2700,0,1,0,Core staff,2,0,47.21917808219178
5114438,F,N,Y,1,157500.0,Working,Secondary / secondary special,Married,House / apartment,-1107,1,1,0,Sales staff,3,0,47.293150684931504
5114166,M,Y,N,1,247500.0,Working,Higher education,Married,House / apartment,-194,1,0,1,Unknown,3,0,25.46849315068493
5038619,F,N,N,0,103500.0,Pensioner,Secondary / secondary special,Married,House / apartment,365243,0,0,0,Unknown,2,0,66.7013698630137
5044940,M,N,Y,2,360000.0,State servant,Higher education,Married,House / apartment,-5639,0,1,0,Managers,4,0,43.90958904109589
5087756,F,N,N,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,-2475,0,0,0,Sales staff,2,0,41.863013698630134
5062296,F,N,Y,0,135000.0,Pensioner,Incomplete higher,Separated,House / apartment,365243,0,0,0,Unknown,1,0,55.85753424657534
5009908,M,Y,N,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,-3661,0,0,0,Drivers,2,0,52.38356164383562
5117698,M,Y,N,0,315000.0,Working,Higher education,Married,House / apartment,-3961,1,0,0,Unknown,2,0,55.66849315068493
